"","date","R0","R"
"1",2013-11-04,1.5604914893241,1.31129339921476
"2",2013-11-11,1.39223725497841,1.16661088668052
"3",2013-11-18,1.61675801219472,1.35175225147007
"4",2013-11-25,1.7617555432731,1.46902597438064
"5",2013-12-02,1.62715428281014,1.35087701761538
"6",2013-12-09,1.57821576860566,1.30083884014601
"7",2013-12-16,1.61976887479366,1.32880760171679
"8",2013-12-23,1.62631869213592,1.32980535835865
"9",2013-12-30,1.82305789874011,1.48239216905468
"10",2014-01-06,1.81563920648024,1.46080976662123
"11",2014-01-13,1.7269602698058,1.3742815617155
"12",2014-01-20,1.82453000474191,1.43451343442316
"13",2014-01-27,1.49162580035095,1.15325965928521
"14",2014-02-03,1.79699662099415,1.36353878637597
"15",2014-02-10,1.77689230033986,1.31211004815899
"16",2014-02-17,1.79909846687567,1.26286431594204
"17",2014-02-24,1.64761405074445,1.0809024286582
"18",2014-03-03,1.76811496138449,1.02753761354222
"19",2014-03-10,1.78832325459022,0.846259072965759
"20",2014-03-17,1.66538976981903,0.667843518879709
"21",2014-03-24,1.53406790943584,0.548916914715978
"22",2014-03-31,1.27325375605085,0.427885852974516
"23",2014-04-07,1.45026580221312,0.470987732028827
"24",2014-04-14,1.51150209006796,0.478793617074399
"25",2014-04-21,1.39446604896916,0.428188119247881
"26",2014-04-28,1.30310123872919,0.388128092819457
"27",2014-05-05,1.25638684140375,0.367260897161311
"28",2014-05-12,1.18715200695907,0.344700088267189
"29",2014-05-19,0.793530490158312,0.227287299780926
"30",2014-05-26,0.912909796283145,0.258073054153665
"31",2014-06-02,0.935639387480896,0.263565760152255
"32",2014-06-09,1.00284560720651,0.280682715520997
"33",2014-06-16,0.739856304160502,0.206572197977436
"34",2014-06-23,0.771912219265012,0.215080836200254
"35",2014-06-30,0.573899691980086,0.160118888329803
"36",2014-07-07,0.607080444421385,0.169320948224612
"37",2014-07-14,0.469098302747692,0.130472322684468
"38",2014-07-21,0.356203976766107,0.0989191863346569
"39",2014-07-28,0.499202808127487,0.138734981045272
"40",2014-08-04,0.554206704017862,0.153932562214575
"41",2014-08-11,0.509089424967841,0.141384172552888
"42",2014-08-18,0.576842932504642,0.160059048033266
"43",2014-08-25,0.571451827114301,0.158441425066128
"44",2014-09-01,0.866947902070393,0.275684510589935
"45",2014-09-08,0.732252175611172,0.232808932872821
"46",2014-09-15,0.917364211589584,0.291274658605541
"47",2014-09-22,1.0481384306885,0.332109948264707
"48",2014-09-29,1.07791134965742,0.34149554304
"49",2014-10-06,0.995563799261967,0.315467146623092
"50",2014-10-13,0.866959169928445,0.27440626696647
"51",2014-10-20,0.916464230253493,0.289937111005543
"52",2014-10-27,1.02083955299843,0.322375887497019
"53",2014-11-03,1.22865950622628,0.386932782645652
"54",2014-11-10,0.931903213659241,0.291905929700097
"55",2014-11-17,1.24251436241133,0.38661120174897
"56",2014-11-24,1.28338111079678,0.396316116367452
"57",2014-12-01,1.09199318783983,0.334431073757939
"58",2014-12-08,1.23989218629769,0.375787498995926
"59",2014-12-15,1.43648986947795,0.429892119570004
"60",2014-12-22,1.35939413344603,0.401975925378241
"61",2014-12-29,1.42660213683715,0.416648429227208
"62",2015-01-05,1.58717039190622,0.458209311256389
"63",2015-01-12,1.58700106924176,0.453903681585335
"64",2015-01-19,1.60143672034032,0.454852197663938
"65",2015-01-26,1.71859967903857,0.485382215571891
"66",2015-02-02,1.84641816416283,0.518855248332416
"67",2015-02-09,1.78600340143759,0.499304473313881
"68",2015-02-16,1.80458330433187,0.502479053521498
"69",2015-02-23,1.74974205140539,0.4869095139917
"70",2015-03-02,1.88262308695454,0.523767276400222
"71",2015-03-09,1.840012390496,0.511902365810449
"72",2015-03-16,1.70052964865867,0.473309776884246
"73",2015-03-23,1.43767795064434,0.39957056264682
"74",2015-03-30,1.54227232714291,0.428024410349001
"75",2015-04-06,1.41342003226607,0.391649679343241
"76",2015-04-13,1.381453720796,0.382141802034031
"77",2015-04-20,1.08468415872892,0.299526610753726
"78",2015-04-27,1.02647820155836,0.283933895130842
"79",2015-05-04,1.13120320139953,0.313108742166539
"80",2015-05-11,0.815310308513907,0.226221702815028
"81",2015-05-18,0.543779905338468,0.15091120104903
"82",2015-05-25,0.685450257599891,0.190217742102996
"83",2015-06-01,0.995223317346694,0.276170544918368
"84",2015-06-08,0.834352344136033,0.231442026009182
"85",2015-06-15,0.635536937302184,0.176640050625901
"86",2015-06-22,0.375769958417952,0.104116859564905
"87",2015-06-29,0.524417778337813,0.16644215650477
"88",2015-07-06,0.484473913337925,0.153575202399276
"89",2015-07-13,0.425736013115925,0.134967356581647
"90",2015-07-20,0.372824844675837,0.118102300892183
"91",2015-07-27,0.362705571627757,0.114532817735093
"92",2015-08-03,0.365105538124357,0.115207671388491
"93",2015-08-10,0.284423007906014,0.0899133609362371
"94",2015-08-17,0.607073788183854,0.191159227971777
"95",2015-08-24,0.547029556610776,0.17196766197997
"96",2015-08-31,0.615602799003114,0.192906079919743
"97",2015-09-07,0.463460888940019,0.144784320887646
"98",2015-09-14,0.668099219567226,0.207685689469623
"99",2015-09-21,0.547398343424396,0.169679875154236
"100",2015-09-28,0.658224446795086,0.2027148467936
"101",2015-10-05,0.636250198899502,0.193970274706859
"102",2015-10-12,0.589263473173728,0.176946339302783
